Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.385008232,0.08754145172126737,-0.23198309722387056,1.5199323689450246,
0.390013078,0.0776945993652951,-0.10897205021256817,1.5377262906638318,
0.395017924,0.08513999345707979,-0.06419332620521079,1.475347811095519,
0.399992309,-0.02382535646114281,-0.127969088530697,1.3564913226068835,
0.404997155,0.04223131410476744,-0.21729693601620803,1.1311616860151936,
0.410002001,0.09507660287377973,-0.3423893752900171,0.9125907868004361,
0.415006924,0.09904562010572548,-0.3428645374939765,0.7913641333465975,
0.420011771,0.07923649608458039,-0.23598434468634322,0.8322886943725898,
0.425016617,0.10935784863920972,-0.11983453385454323,1.1408408737109639,
0.430021463,0.14877785434319152,-0.03457602780995295,1.3340517883242384,
0.434995848,0.0730536078611499,0.04895365300228183,1.3353917602492338,
0.440000694,0.12739589970902493,0.14642314960519465,1.0989591601525106,
0.445005617,0.10957815775550123,0.13246139566071813,0.6416627504852901,
0.450010386,0.12596976382952302,0.09830767854029321,0.1838883668921376,
0.455015309,0.085452911245198,0.06332326685567202,-0.05974813216988473,
0.460020155,0.1449767863650091,-0.04127873774226898,-0.1090900096421592,
0.464994463,0.10831998514326158,0.012945637735872317,-0.11791775966685236,
0.469999386,0.21690055908514455,0.07930954745066066,-0.20159433956941974,
0.475004232,0.2271505668302647,0.10175487558565055,-0.3221664323488955,
0.480009078,0.16639755960625582,0.1733412516953271,-0.42628478162130357,
0.485013925,0.27102405664382123,0.1616573153211054,-0.5785324029337602,
0.490018771,0.2474650449518978,0.16763308988200643,-0.723314813948571,
0.494993155,0.22861781175650114,0.11878359592904264,-0.9693859515006533,
0.499998002,0.152248473610218,0.13333406668464043,-1.1662420986028668,
0.505002848,0.15244455468315732,0.18328172859795655,-1.2624362753178389,
0.510007771,0.12961708173480713,0.24622417209345315,-1.4389895475980214,
0.515012617,0.10369366538784569,0.20464077566304373,-1.5495871764084956,
0.520017463,0.052309156515293664,0.18669695833713662,-1.6150802025525763,
0.524991848,0.057170225030655386,0.22597201807809553,-1.6981211383604204,
0.529996694,0.0074289423994022274,0.23440775190601892,-1.7798760000438065,
0.53500154,0.0672347293513455,0.2947864287281843,-1.8529420903182476,
0.540006386,0.05378778348107638,0.3507508245654752,-1.8347798197155356,
0.545011232,0.05069166477314235,0.3265693307954351,-1.8585579561142254,
0.550016156,0.04821476980679512,0.38383859165813766,-1.8086267603991928,
0.555021002,0.06921759164041902,0.4373154502575099,-1.837635508661151,
0.559995309,0.001743959710650611,0.41114391179597376,-1.8225349358595846,
0.565000233,-0.006266270219760728,0.48980547024183274,-1.733839716265793,
0.570005079,-0.027997353982510242,0.48378172742027287,-1.7165139879784537,
0.575009925,0.008247892608974683,0.5785615223781129,-1.5800703975360832,
0.580014771,-0.02404746170780314,0.5930937590707033,-1.5245452096304293,
0.585019694,-0.04222230717294417,0.5664123584833693,-1.4188339368693823,
0.589994002,-0.018454945919934906,0.5910359613106213,-1.4185407365316385,
0.594998848,-0.01476395673594788,0.5800889962518663,-1.3876600428385917,
0.600003694,-0.004149727400477032,0.594315738169706,-1.3093258034359128,
0.605008617,-0.010981219908662854,0.6286815410362532,-1.1700436505612304,
0.610013463,-0.02410787574535067,0.579559612711815,-1.035633614296641,
0.61501831,0.0036980372104211123,0.5709080127402528,-0.9510902807195389,
0.619992694,-0.05067168383334769,0.47204928616876485,-0.8681323564115688,
0.62499754,-0.03287590907839694,0.4312694948529805,-0.824750330930037,
0.630002387,0.027329386338967032,0.42929160448834147,-0.8053679679911001,
0.635007233,-0.04708949242800242,0.43537053945004844,-0.7975231341585047,
